blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
5341 021,4411 MAINFIELD AVE,LAURAVILLE,3,NORTHEASTERN,"(39.3441403143, -76.5769872994)",01/01/110912
7447 007,2316 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,"(39.2626422518, -76.6345384752)",01/01/110907
0061 022,1613 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3008607388, -76.6437071693)",01/01/62609
3239 008,1634 GWYNNS FALLS PKWY,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3178378969, -76.6496263499)",01/01/120506
0096 099,1802 RAYNER AVE,HARLEM PARK,9,WESTERN,"(39.2971620383, -76.6464710179)",01/01/52609
0253 042,891 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.2866865507, -76.631426946)",01/01/42910
1606 094,805 N MADEIRA ST,MIDDLE EAST,13,EASTERN,"(39.3001808742, -76.5857893684)",01/01/81010
0274 058,1931 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2840014116, -76.6478650992)",01/01/72209
2177 038,2507 MCHENRY ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.283686657, -76.6563361303)",01/01/62209
0192 102,1923 W FAIRMOUNT AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2886923521, -76.647991085)",01/01/30608
0096 010,718 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2969210753, -76.6460005571)",01/01/120105
4021C080,2208 KIRK AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3149696208, -76.605663903)",01/01/10711
2411 024,2933 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3079041945, -76.6669791229)",01/01/112304
3177 022,3842 REISTERSTOWN ROAD,PARK CIRCLE,6,NORTHWESTERN,"(39.3323844161, -76.6633134559)",01/01/90607
0328 100,1827 ETTING ST,DRUID HEIGHTS,11,CENTRAL,"(39.3061214355, -76.6344635283)",01/01/101707
4188A022,3116 LAWNVIEW AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.319933253, -76.5741917486)",01/01/111414
1450 007,1813 N CHESTER ST,BROADWAY EAST,12,EASTERN,"(39.311283712, -76.5883791283)",01/01/11012
1483 043,2207 E FEDERAL ST,BROADWAY EAST,13,EASTERN,"(39.3086496254, -76.5869702761)",01/01/80813
2205 083,2414 W FRANKLIN ST,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2936553431, -76.6553340015)",01/01/21012
4039 019,539 E 23RD ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3152487929, -76.6084160756)",01/01/11808
0328 110,1807 ETTING ST,DRUID HEIGHTS,11,CENTRAL,"(39.3058851115, -76.6341688353)",01/01/91206
0224 033,1905 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2869648514, -76.6471767193)",01/01/60110
5658 026,6527 ROSEMONT AVE,ROSEMONT EAST,2,NORTHEASTERN,"(39.3556001364, -76.5343676749)",01/01/22315
0075 031,922 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2995519547, -76.6418342511)",01/01/70313
1161 030,1224 N EDEN ST,OLIVER,12,EASTERN,"(39.3047263861, -76.5998333659)",01/01/71607
0161 032,204 N PAYSON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2906822627, -76.6490711124)",01/01/72513
3303 004,2616 W COLD SPRING LANE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3402264694, -76.6657198818)",01/01/10915
3829 036,2414 N CALVERT ST,BARCLAY,12,NORTHERN,"(39.3168154322, -76.6144734575)",01/01/102904
0322 023,405 PRESSTMAN ST,DRUID HEIGHTS,11,CENTRAL,"(39.3076589134, -76.634823195)",01/01/112904
0175 060,2115 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2897470283, -76.6506071498)",01/01/12706
1463 017,1731 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,"(39.3106928176, -76.5855890773)",01/01/102511
0469 008,817 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.2959111024, -76.6315620578)",01/01/111004
1112 030,1626 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3087767779, -76.6034673787)",01/01/41410
0262 003,1605 W PRATT ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2851821826, -76.6427041239)",01/01/80613
1121 017,1532 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3078378284, -76.6034096712)",01/01/111914
0107 083,615 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2957862041, -76.6479580347)",01/01/120210
0699 086,1923 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2823440115, -76.6474447404)",01/01/50809
0216 056,1218 HOLLINS ST,HOLLINS MARKET,9,SOUTHERN,"(39.287762778, -76.6375638512)",01/01/82214
2100 023,2645 WILKENS AVE,MILLHILL,9,SOUTHWESTERN,"(39.2783254582, -76.6570130854)",01/01/11211
5931 011,4320 SHELDON AVE,BELAIR-EDISON,2,NORTHEASTERN,"(39.3271598117, -76.5623861751)",01/01/13013
5733 001,5901 MARLUTH AVE,CEDMONT,2,NORTHEASTERN,"(39.3441328438, -76.5372070417)",01/01/20414
3002 008,3120 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.3092473419, -76.6702076592)",01/01/120105
2307A020,1825 N WARWICK AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3090195204, -76.6568930965)",01/01/42012
1643 087,620 N BELNORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2983336098, -76.5789157414)",01/01/113012
0260 086,1819 DOVER ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2846252167, -76.6457451897)",01/01/52511
3414 045,2312 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3109092673, -76.6390999574)",01/01/122705
3935 021,2713 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3219604588, -76.5910657496)",01/01/52114
3836A048,444 E LORRAINE AVE,HARWOOD,12,NORTHERN,"(39.3201926203, -76.6098718974)",01/01/80114
7080 027,3622 2ND ST,BROOKLYN,10,SOUTHERN,"(39.2373485854, -76.6092552896)",01/01/120808
1112 034,1618 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3086269956, -76.6034590552)",01/01/61714
0178 013,1825 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,"(39.2903042983, -76.6462136969)",01/01/112814
2218 011,2800 W MULBERRY ST,PENROSE/FAYETTE STREET OUTREACH,9,SOUTHWESTERN,"(39.29277698, -76.6626852182)",01/01/42506
3196E003,4804 REISTERSTOWN ROAD,LUCILLE PARK,6,NORTHWESTERN,"(39.3414272127, -76.6761875588)",01/01/90508
0180 035,1624 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2898202315, -76.6434274728)",01/01/92707
7134 003,4205 AUDREY AVE,BROOKLYN,10,SOUTHERN,"(39.2293707523, -76.6050503336)",01/01/72805
0394 028,615 W LAFAYETTE AVE,UPTON,11,CENTRAL,"(39.300621453, -76.6320969454)",01/01/73008
3400 017,1700 W NORTH AVE,PENN NORTH,7,WESTERN,"(39.310196145, -76.6451229657)",01/01/40110
4580 025,3328 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346824313, -76.6775908172)",01/01/92614
1537 058,1209 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.304976787, -76.5838398391)",01/01/52611
0107 049,605 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2955487338, -76.6488040131)",01/01/41510
1482 020,1522 N COLLINGTON AVE,BROADWAY EAST,13,EASTERN,"(39.3086409913, -76.5874206798)",01/01/72211
2446A003,1005 N ROSEDALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2996350725, -76.667718974)",01/01/21313
0247 042,114 S CALHOUN ST,UNION SQUARE,9,SOUTHERN,"(39.2858873245, -76.6396928158)",01/01/62907
0247 041,116 S CALHOUN ST,UNION SQUARE,9,SOUTHERN,"(39.2858461662, -76.6396922564)",01/01/32406
3228C019,2213 RUSKIN AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.315059599, -76.6473931454)",01/01/21908
3937 020,2711 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3229643272, -76.5896897457)",01/01/111414
2165 002,57 N CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2891316126, -76.6563387332)",01/01/93012
1539 040,1231 N LUZERNE AVE,BEREA,13,EASTERN,"(39.3056203575, -76.5810526212)",01/01/122013
0223 044,2004 FREDERICK AVE,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2863298393, -76.6489153564)",01/01/52913
0145 042,2109 W MULBERRY ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2926003936, -76.6509777125)",01/01/101008
0077 005,1315 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2999166713, -76.6393470572)",01/01/10807
1109 089,1701 N BETHEL ST,OLIVER,12,EASTERN,"(39.3098941477, -76.5958572534)",01/01/12810
4585 019C,5022 PALMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3484549455, -76.6733689059)",01/01/120213
1551 023,2039 E BIDDLE ST,MIDDLE EAST,12,EASTERN,"(39.304339829, -76.5884796346)",01/01/81505
2742 003,3905 W FOREST PARK AVE,CONCERNED CITIZENS OF FOREST PARK,6,NORTHWESTERN,"(39.3248951112, -76.6846379288)",01/01/32713
3228A027,2209 LYNNBROOK AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3145360155, -76.6469335932)",01/01/70810
0279 003,1507 MCHENRY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2842400979, -76.6412326076)",01/01/72314
1501 007,2112 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.3068680382, -76.5879598514)",01/01/102605
0244 023,121 S FULTON AVE,UNION SQUARE,9,SOUTHERN,"(39.2854912216, -76.6448129356)",01/01/60508
0107 072,1906 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2953437481, -76.6476282809)",01/01/100508
0013A054,1651 N MONROE ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3076803328, -76.6477772315)",01/01/11106
1468 076,1624 N CHAPEL ST,BROADWAY EAST,12,EASTERN,"(39.3094098163, -76.5910630811)",01/01/30408
0317 043,338 PRESSTMAN ST,MADISON PARK,11,CENTRAL,"(39.3090055861, -76.6336928064)",01/01/70710
1102 074,1611 E NORTH AVE,OLIVER,12,EASTERN,"(39.3117462074, -76.5965321986)",01/01/12910
0119 097,1936 W FRANKLIN ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2939823893, -76.6484960853)",01/01/120710
0053 007,1113 N GILMOR ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3014785506, -76.6428196728)",01/01/120704
1113 036,1603 HOLBROOK ST,OLIVER,12,EASTERN,"(39.308509485, -76.6029711787)",01/01/22715
2387 014,2754 W LAFAYETTE AVE,MOSHER,9,WESTERN,"(39.2982987492, -76.6626093811)",01/01/72006
0393 023,635 W LAFAYETTE AVE,UPTON,11,CENTRAL,"(39.3002233913, -76.6326023614)",01/01/101212
0164 057,232 N MOUNT ST,FRANKLIN SQUARE,9,WESTERN,"(39.2916813151, -76.6442225328)",01/01/111104
2530A048,328 MARYDELL ROAD,IRVINGTON,8,SOUTHWESTERN,"(39.2807317774, -76.68981189)",01/01/12415
0008 046,1708 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3081307077, -76.6474773887)",01/01/92407
0065 014,1226 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3003217692, -76.6383512401)",01/01/20911
3825 046,2453 BRENTWOOD AVE,BARCLAY,12,EASTERN,"(39.3173337934, -76.6101303008)",01/01/91208
1519 004,2306 E PRESTON ST,BROADWAY EAST,13,EASTERN,"(39.3059227411, -76.5849921743)",01/01/92711
2419 033,1615 N LONGWOOD ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3066751575, -76.6671391873)",01/01/20415
1535 061,1207 N COLLINGTON AVE,BROADWAY EAST,13,EASTERN,"(39.3053303914, -76.5868268298)",01/01/31808
1464 088,1725 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.3105621245, -76.5841961241)",01/01/120308
1568 081,1026 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.3028594779, -76.589214722)",01/01/113005
5467 009,7218 OLD HARFORD ROAD,HAMILTON HILLS,3,NORTHEASTERN,"(39.3708013847, -76.5517807635)",01/01/81414
3229 029,2313 AVALON AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3151982432, -76.6450063099)",01/01/51914
4072 030,611 E 29TH ST,BETTER WAVERLY,14,NORTHERN,"(39.3235981111, -76.6083005005)",01/01/121807
1101 105,1835 N DALLAS ST,OLIVER,12,EASTERN,"(39.3114757454, -76.5975765417)",01/01/82511
1594 016,2730 ASHLAND AVE,MADISON-EASTEND,13,EASTERN,"(39.301302804, -76.5785600006)",01/01/102607
4061 027,629 SAINT ANNS AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3174899866, -76.6060177662)",01/01/32408
7805B008,1715 SPENCE ST,MORRELL PARK,10,SOUTHWESTERN,"(39.2695354906, -76.651536971)",01/01/22715
1787 061,523 S PORT ST,CANTON,1,SOUTHEASTERN,"(39.2854143821, -76.5819955174)",01/01/20315
0108 018,634 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2960100121, -76.6459190471)",01/01/31412
2388A032,1201 OAKHURST PL,WINCHESTER,9,SOUTHWESTERN,"(39.3018003856, -76.6642164785)",01/01/13107
0190 060,26 N PULASKI ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2889084269, -76.6503708649)",01/01/10915
0151 013,325 N GILMOR ST,FRANKLIN SQUARE,9,WESTERN,"(39.2927925452, -76.6423466924)",01/01/62408
3307A013,4227 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3377594404, -76.6645737178)",01/01/10909
1455 049,1745 N MILTON AVE,BEREA,13,EASTERN,"(39.3109735107, -76.5825990657)",01/01/102407
1537 024,1216 N MILTON AVE,BROADWAY EAST,13,EASTERN,"(39.3053665921, -76.5829502951)",01/01/81406
5841 029,5118 ARDMORE WAY,WALTHERSON,2,NORTHEASTERN,"(39.3385816975, -76.5550238979)",01/01/60713
4108 004,1521 HOMESTEAD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3218711341, -76.5975217672)",01/01/112311
3347F005,2608 PARK HEIGHTS TERR,GREENSPRING,6,NORTHERN,"(39.3387194151, -76.661924069)",01/01/91614
2205 093,2434 W FRANKLIN ST,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2936320336, -76.655983794)",01/01/120111
1463 081,1712 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3102748346, -76.5852699382)",01/01/103108
4616 098O,4826 PIMLICO ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3475620487, -76.6692183408)",01/01/81505
3303 020,3105 OAKFORD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3406560603, -76.6656539624)",01/01/22812
7470R016,2709 WEGWORTH LANE,LAKELAND,10,SOUTHERN,"(39.2543867837, -76.6432703495)",01/01/120810
2173 015,145 WILLARD ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2849846201, -76.6545949733)",01/01/91213
0113 019,636 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.2964977137, -76.6374327923)",01/01/71114
0084 023,1805 W LAFAYETTE AVE,HARLEM PARK,9,WESTERN,"(39.2985711525, -76.6465435437)",01/01/122007
0128 021,1041 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.2953229427, -76.6354986074)",01/01/42106
3952 025,1800 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.324079447, -76.5905448401)",01/01/30207
0005 020,1681 W NORTH AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3097152056, -76.6448369775)",01/01/63006
0511 031,915 CATHEDRAL ST,MID-TOWN BELVEDERE,11,CENTRAL,"(39.300558355, -76.6171001367)",01/01/62408
3185 013,2805 W COLD SPRING LANE,TOWANDA-GRANTLEY,6,NORTHWESTERN,"(39.3384383234, -76.6684892486)",01/01/80912
1455 062,1823 N MILTON AVE,BEREA,13,EASTERN,"(39.3115224848, -76.5826369673)",01/01/100608
0393 006,1310 ARGYLE AVE,UPTON,11,CENTRAL,"(39.2996723407, -76.6320234784)",01/01/112607
2710 020,4018 BARRINGTON ROAD,DORCHESTER,6,NORTHWESTERN,"(39.3316207837, -76.6864909069)",01/01/90514
5715 010,4204 RASPE AVE,CEDMONT,2,NORTHEASTERN,"(39.3496235425, -76.5356095091)",01/01/102513
1484 013,1525 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,"(39.3083778707, -76.585474547)",01/01/72614
3936 044,2761 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3231743362, -76.591281565)",01/01/121913
3347D044,2603 QUANTICO AVE,GREENSPRING,6,NORTHERN,"(39.3377294274, -76.661179243)",01/01/91707
0076 006,911 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2992920498, -76.6412571313)",01/01/103108
0452 067,830 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.2963297291, -76.631958511)",01/01/50814
0101 001,700 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.2969684612, -76.6388726032)",01/01/11508
5165B015E,5210 CRAIG AVE,WOODBOURNE-MCCABE,4,NORTHERN,"(39.3529846875, -76.6068960007)",01/01/121906
1517 066,2039 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.306454292, -76.5890108366)",01/01/10305
1110 019,1620 BARCLAY ST,GREENMOUNT WEST,12,EASTERN,"(39.3085914772, -76.6110346643)",01/01/110504
0304 030,2229 DRUID HILL AVE,DRUID HEIGHTS,7,CENTRAL,"(39.3097128496, -76.6377647639)",01/01/123009
4511G041,5442 PRICE AVE,WOODMERE,5,NORTHWESTERN,"(39.3482982389, -76.6882480697)",01/01/41114
4128 016,1744 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3210127887, -76.5924873608)",01/01/102607
3443 052,1920 PARK AVE,RESERVOIR HILL,7,CENTRAL,"(39.3127005908, -76.6282938849)",01/01/22112
0360 007,1525 ARGYLE AVE,UPTON,11,CENTRAL,"(39.3019809836, -76.6341738396)",01/01/110804
4526 018,3518 HAYWARD AVE,ARLINGTON,5,NORTHWESTERN,"(39.3488312654, -76.6810791574)",01/01/81313
0711 038,535 S MONROE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2813647139, -76.6462576324)",01/01/20113
1474 017C,1617 N PORT ST,BROADWAY EAST,13,EASTERN,"(39.3096008633, -76.5834789613)",01/01/42408
3326 053,3407 REISTERSTOWN ROAD,PARK CIRCLE,6,NORTHWESTERN,"(39.3269500846, -76.6584342304)",01/01/61510
3004 011,2924 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.3093742501, -76.6665401089)",01/01/122010
0058 058,1018 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.3004956045, -76.647875798)",01/01/61897
1099B087,1819 HOPE ST,OLIVER,12,EASTERN,"(39.3110559655, -76.6015159837)",01/01/120605
2230G009,17 N HILTON ST,CARROLL-SOUTH HILTON,9,SOUTHWESTERN,"(39.2862557919, -76.6720435605)",01/01/61814
1479 025,1919 E FEDERAL ST,BROADWAY EAST,12,EASTERN,"(39.308508502, -76.5907658048)",01/01/12508
7441 027,2222 CEDLEY ST,WESTPORT,10,SOUTHERN,"(39.2634792392, -76.6320542212)",01/01/72012
5603F022,3609 E NORTHERN PKWY,ROSEMONT EAST,2,NORTHEASTERN,"(39.3582076328, -76.5386515309)",01/01/110314
5936 013,4614 ASBURY AVE,FRANKFORD,2,NORTHEASTERN,"(39.3313594402, -76.5601681272)",01/01/70313
4622 023,4731 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3449544777, -76.670533207)",01/01/71807
1102 067,1625 E NORTH AVE,OLIVER,12,EASTERN,"(39.3117696761, -76.5961306158)",01/01/31008
1551 035,2016 E CHASE ST,MIDDLE EAST,12,EASTERN,"(39.3036218743, -76.5894257339)",01/01/60414
3211 022,2042 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.3109550301, -76.6511726011)",01/01/102910
5370A014A,2217 ECHODALE AVE,LAURAVILLE,3,NORTHEASTERN,"(39.3531416608, -76.5703012548)",01/01/31315
5872 002,4505 SCHLEY AVE,WALTHERSON,3,NORTHEASTERN,"(39.334967898, -76.5634065735)",01/01/103114
1109 030,1614 E LANVALE ST,OLIVER,12,EASTERN,"(39.3097252929, -76.5960987972)",01/01/40212
0276 034,347 S FULTON AVE,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2834387864, -76.6446945001)",01/01/22210
1610 073,815 N GLOVER ST,MADISON-EASTEND,13,EASTERN,"(39.3005669834, -76.5800941789)",01/01/71414
0127 050,526 N ARLINGTON AVE,HARLEM PARK,9,WESTERN,"(39.295156931, -76.6359551978)",01/01/80114
3413 005,2408 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3116635007, -76.6398375427)",01/01/71210
0097 027,1727 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.2974355559, -76.6451250612)",01/01/80712
0297 027,615 CUMBERLAND ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.308906455, -76.6418212964)",01/01/20911
0777 057,1444 CARROLL ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2781611072, -76.636735487)",01/01/12407
0129 087,949 BENNETT PL,HARLEM PARK,9,WESTERN,"(39.2947922167, -76.6335220476)",01/01/11415
3059B004,3213 PIEDMONT AVE,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.3160962565, -76.6724067215)",01/01/53106
2808 047,2100 ALLENDALE ROAD,MOUNT HOLLY,7,SOUTHWESTERN,"(39.311274638, -76.6798971026)",01/01/121212
3325 003,3504 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3283260156, -76.658591631)",01/01/72308
0055C057,1116 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3016182143, -76.6376955293)",01/01/21315
0055B004,1106 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3013934041, -76.6390958825)",01/01/42210
0219 028,13 S SCHROEDER ST,HOLLINS MARKET,9,SOUTHERN,"(39.2883095675, -76.6335557298)",01/01/72112
6042A008,5612 KNELL AVE,FRANKFORD,2,NORTHEASTERN,"(39.3360056843, -76.5418746176)",01/01/62212
2388 017,2832 RIGGS AVE,WINCHESTER,9,SOUTHWESTERN,"(39.3005381346, -76.6645190591)",01/01/83005
0076 002,903 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2991119728, -76.6412466727)",01/01/110308
1478 012,1523 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.3082940445, -76.5925608035)",01/01/22610
2387 030,903 N DUKELAND ST,MOSHER,9,WESTERN,"(39.2984684295, -76.6626911036)",01/01/31412
0177 076,1931 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2898888934, -76.6480609011)",01/01/22714
1098 022,1716 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3096629893, -76.6035158783)",01/01/72911
1099A005,1208 E LAFAYETTE AVE,OLIVER,12,EASTERN,"(39.3105498329, -76.6022334936)",01/01/121412
1112 038,1610 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3084771926, -76.603450733)",01/01/120205
1653 066,511 N COLLINGTON AVE,CARE,13,EASTERN,"(39.2971217524, -76.5863248895)",01/01/31914
4114H033,1521 MONTPELIER ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3213189564, -76.5980156711)",01/01/61914
1118 022,1601 E LANVALE ST,OLIVER,12,EASTERN,"(39.3093372916, -76.5964474899)",01/01/21308
3816 007,334 E 22ND ST,BARCLAY,12,EASTERN,"(39.3147383771, -76.6116151299)",01/01/72508
0073 022,1705 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2997037817, -76.6449113641)",01/01/22508
1625 086,715 N ROSE ST,MILTON-MONTFORD,13,EASTERN,"(39.2994427178, -76.5814387763)",01/01/92211
2718 005,3910 GARRISON BLVD,DORCHESTER,6,NORTHWESTERN,"(39.3338990383, -76.6837395121)",01/01/71312
0008 067,1808 PRESBURY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3080594142, -76.6478605008)",01/01/110813
1517 020,2038 E PRESTON ST,BROADWAY EAST,13,EASTERN,"(39.3057675866, -76.589019841)",01/01/121712
2470 049,2918 W LAFAYETTE AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2981538011, -76.6667456296)",01/01/40207
0050 015,1128 N FULTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3015535487, -76.6462670391)",01/01/10511
4608 012,3522 LUCILLE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.342833773, -76.6744114523)",01/01/50905
1548 022,1113 MCDONOGH ST,MIDDLE EAST,12,EASTERN,"(39.3037754464, -76.5933647497)",01/01/40814
4613 023,3007 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3483748975, -76.6714234628)",01/01/122007
5417 017,2800 ROSELAWN AVE,HAMILTON HILLS,3,NORTHEASTERN,"(39.3583803709, -76.562055602)",01/01/93014
2481 038E,715 N LONGWOOD ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2958488447, -76.6664984272)",01/01/101606
0066 003,1106 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3004627678, -76.6362542694)",01/01/12408
1624 006,2410 E MONUMENT ST,MILTON-MONTFORD,13,EASTERN,"(39.2989844972, -76.583345528)",01/01/13015
4626A053,3125 VIRGINIA AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3446717875, -76.6689935434)",01/01/22412
0196 044,1506 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2886057172, -76.6413080743)",01/01/62508
3410 019,2529 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.3134254201, -76.642307125)",01/01/20912
6042K006,5606 CEDELLA AVE,FRANKFORD,2,NORTHEASTERN,"(39.3330137672, -76.5397416626)",01/01/102414
1484 056,2314 E OLIVER ST,BROADWAY EAST,13,EASTERN,"(39.3080526062, -76.5848350049)",01/01/61711
0035 039,1411 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3052862141, -76.6411386655)",01/01/121813
4053 036,726 E 33RD ST,WAVERLY,14,NORTHERN,"(39.3287014114, -76.6051833351)",01/01/82313
0698 110,2003 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2819669655, -76.6484605372)",01/01/102809
0347 055,554 MCMECHEN ST,UPTON,11,CENTRAL,"(39.3033386425, -76.6331399006)",01/01/120407
