TAG,LAST_ORG,CAPTURE_ME,LAST_USER,EDIT_DATE,BLOCKNUM,PARCELNUM,PIN,CNTGRAPH,BLOCKLOT,SUBTYPE_GE,SHAPE_Leng,SHAPE_Area,FULLADDR,STDIRPRE,ST_NAME,ST_TYPE,BLDG_NO,UNIT_NUM,area
600000000104330,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4006,033,4006033,33,4006 033,1,208.623199183,1339.79800813,1226 E NORTH AVE,E,NORTH,AVE,1226,,124.76487
600000000183525,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0262,076,0262076,76,0262 076,1,185.731434158,1028.82314366,217 S VINCENT ST,S,VINCENT,ST,217,,95.7490742
600000000166407,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0180,054,0180054,54,0180 054,1,265.922999352,2260.69238062,112 N GILMOR ST,N,GILMOR,ST,112,,210.549178
600000000158926,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2295,054,2295054,54,2295 054,1,100.180237345,590.724489616,0,,,,0,,55.0884152
600000000125528,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0036B,019A,0036B019A,19A,0036B019A,1,302.38135815,5368.32580492,0,,,,0,,500.149618
600000000128959,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",6182,008,6182008,8,6182 008,1,290.768875318,4768.99023369,0,,,,0,,444.248147
600000000138190,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0075,058,0075058,58,0075 058,1,144.082388996,720.267314151,925 N PARRISH ST,N,PARRISH,ST,925,,67.2735591
600000000019537,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4456,016,4456016,16,4456 016,1,255.117899947,3102.54024978,0,,,,0,,289.017839
600000000133740,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1589,075,1589075,75,1589 075,1,190.688719606,1164.25146519,904 N PATTERSON PARK AVE,N,PATTERSON PARK,AVE,904,,108.53427
600000000223088,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",7385,014,7385014,14,7385 014,1,188.384409353,1135.22357601,3827 4TH AVE,,4TH,AVE,3827,,105.718303
