,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate,lat,long
2463,0036B074,1345 N CALHOUN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.304665166, -76.6401769494)",01/01/41112,39.304665166,-76.6401769494
2464,0058 075,1015 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.3004111925, -76.648226588)",01/01/111308,39.3004111925,-76.648226588
2465,3913A004,4007 WILSBY AVE,PEN LUCY,4,NORTHERN,"(39.3384035877, -76.6042950277)",01/01/60209,39.3384035877,-76.6042950277
2466,4010I011,1120 BONAPARTE AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3156922224, -76.600060787)",01/01/81214,39.3156922224,-76.600060787
2467,0696 105,2223 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2809331791, -76.6515807039)",01/01/80108,39.2809331791,-76.6515807039
2468,1099A020,1824 HOPE ST,OLIVER,12,EASTERN,"(39.3110643885, -76.6020295342)",01/01/80108,39.3110643885,-76.6020295342
2469,4137 093,1504 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3240782925, -76.5947421985)",01/01/82913,39.3240782925,-76.5947421985
2470,5418A033,2808 CHRISTOPHER AVE,HAMILTON HILLS,3,NORTHEASTERN,"(39.3600911467, -76.5605383096)",01/01/31315,39.3600911467,-76.5605383096
2471,0699 046,1937 RAMSAY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2827847893, -76.6477841873)",01/01/11708,39.2827847893,-76.6477841873
2472,3210 045,1933 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.3112413339, -76.6491892994)",01/01/62207,39.3112413339,-76.6491892994
2473,2179 030,202 S CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2845792925, -76.6562626859)",01/01/61313,39.2845792925,-76.6562626859
2474,3006 004,2772 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.3094885952, -76.6631007839)",01/01/32812,39.3094885952,-76.6631007839
2475,4171 165,1943 N COLLINGTON AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.3136164634, -76.5873305402)",01/01/110106,39.3136164634,-76.5873305402
2476,4166A013,1624 E 25TH ST,DARLEY PARK,14,EASTERN,"(39.3165443032, -76.5945111142)",01/01/91007,39.3165443032,-76.5945111142
2477,0002 002,1802 N MONROE ST,EASTERWOOD,7,WESTERN,"(39.3089256453, -76.6483765835)",01/01/51011,39.3089256453,-76.6483765835
2478,0119 105,1920 W FRANKLIN ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2939980923, -76.6481004281)",01/01/101712,39.2939980923,-76.6481004281
2479,3414 041,2304 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3107796608, -76.6389683626)",01/01/42406,39.3107796608,-76.6389683626
2480,0007 065,1729 N PAYSON ST,EASTERWOOD,7,WESTERN,"(39.3084406982, -76.6495466847)",01/01/32714,39.3084406982,-76.6495466847
