,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate,lat,long
172,6770 049,1133 STEELTON AVE,GRACELAND PARK,1,SOUTHEASTERN,"(39.2804618434, -76.5359974633)",01/01/80414,39.2804618434,-76.5359974633
173,3005 002,2802 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.3094584438, -76.6642404843)",01/01/32111,39.3094584438,-76.6642404843
174,1655 074,516 N PORT ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2972601934, -76.5830729865)",01/01/42613,39.2972601934,-76.5830729865
175,3212 034,2021 N SMALLWOOD ST,MONDAWMIN,7,WESTERN,"(39.3115164758, -76.652574374)",01/01/72213,39.3115164758,-76.652574374
176,1450 065,1842 N COLLINGTON AVE,BROADWAY EAST,12,EASTERN,"(39.3118418725, -76.5877149925)",01/01/32309,39.3118418725,-76.5877149925
177,0264 056,212 S CALHOUN ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2851865868, -76.6395890781)",01/01/32012,39.2851865868,-76.6395890781
178,2450 008,1515 N HILTON ST,ROSEMONT,9,SOUTHWESTERN,"(39.3056171443, -76.6717851942)",01/01/123011,39.3056171443,-76.6717851942
179,1164B032,1127 N BOND ST,GAY STREET,12,EASTERN,"(39.3039859549, -76.5962913735)",01/01/51509,39.3039859549,-76.5962913735
180,1564 013,1025 N BROADWAY,MIDDLE EAST,12,EASTERN,"(39.3025224219, -76.5941250056)",01/01/110714,39.3025224219,-76.5941250056
181,0037 018,1329 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3042272192, -76.638726612)",01/01/32012,39.3042272192,-76.638726612
182,2140 027,403 EAST LYNNE AVE,MILLHILL,9,SOUTHWESTERN,"(39.2806585204, -76.6589814912)",01/01/112310,39.2806585204,-76.6589814912
183,0219 076,934 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.2869811707, -76.6331409281)",01/01/13113,39.2869811707,-76.6331409281
184,2446B059,2907 RIGGS AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2999180963, -76.6660903905)",01/01/22807,39.2999180963,-76.6660903905
185,1513 007,1313 N BROADWAY,BROADWAY EAST,12,EASTERN,"(39.3057068006, -76.5943800293)",01/01/102413,39.3057068006,-76.5943800293
186,1590 066,2306 ASHLAND AVE,MILTON-MONTFORD,13,EASTERN,"(39.3010629701, -76.5846766867)",01/01/62408,39.3010629701,-76.5846766867
187,0063 021,1009 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3003341199, -76.641336063)",01/01/112508,39.3003341199,-76.641336063
188,0106 110,604 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2954542829, -76.6499536138)",01/01/60308,39.2954542829,-76.6499536138
189,0196 042,1510 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2885977642, -76.6414316328)",01/01/90413,39.2885977642,-76.6414316328
190,0007 075,1709 N PAYSON ST,EASTERWOOD,7,WESTERN,"(39.3080683652, -76.6495269853)",01/01/50212,39.3080683652,-76.6495269853
191,3453 002E,2475 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.3163418569, -76.6311940532)",01/01/80510,39.3163418569,-76.6311940532
192,7868B008,2345 WASHINGTON BLVD,MORRELL PARK,10,SOUTHWESTERN,"(39.2688006568, -76.6496742134)",01/01/111609,39.2688006568,-76.6496742134
193,6291 029,136 S CLINTON ST,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.2903197038, -76.5704764715)",01/01/62713,39.2903197038,-76.5704764715
194,2178 035A,330 S FRANKLINTOWN ROAD,SHIPLEY HILL,9,SOUTHWESTERN,"(39.283026049, -76.6576726483)",01/01/30306,39.283026049,-76.6576726483
195,0339 006,1710 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.3052186818, -76.6329327134)",01/01/102308,39.3052186818,-76.6329327134
196,1674 094,407 N GLOVER ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2961510144, -76.5798164614)",01/01/31910,39.2961510144,-76.5798164614
197,1590 058,902 N MONTFORD AVE,MILTON-MONTFORD,13,EASTERN,"(39.3010474112, -76.5840958116)",01/01/52114,39.3010474112,-76.5840958116
198,1455 035,1663 N MILTON AVE,BEREA,13,EASTERN,"(39.3102826523, -76.5825705697)",01/01/81211,39.3102826523,-76.5825705697
199,5173 062,543 CHATEAU AVE,WINSTON-GOVANS,4,NORTHERN,"(39.3505292606, -76.6078449721)",01/01/92112,39.3505292606,-76.6078449721
200,1177 032,1125 N CAROLINE ST,GAY STREET,12,EASTERN,"(39.3038878358, -76.5975468659)",01/01/32013,39.3038878358,-76.5975468659
201,8230 002,4221 FERNHILL AVE,WEST ARLINGTON,6,NORTHWESTERN,"(39.3373677548, -76.6913120257)",01/01/11615,39.3373677548,-76.6913120257
202,1447 018,1835 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.3117026442, -76.5927710812)",01/01/32615,39.3117026442,-76.5927710812
203,1138 103,1402 N BETHEL ST,OLIVER,12,EASTERN,"(39.3065964967, -76.5961763887)",01/01/110705,39.3065964967,-76.5961763887
204,3211 091,2008 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.3114492468, -76.6505970608)",01/01/10215,39.3114492468,-76.6505970608
205,2475 018,3034 EDMONDSON AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2945757953, -76.6677349997)",01/01/70714,39.2945757953,-76.6677349997
206,0189 017,33 N BENTALOU ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2888398351, -76.6526631216)",01/01/31813,39.2888398351,-76.6526631216
207,2472 005,2937 W LANVALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2969071467, -76.6664047445)",01/01/62210,39.2969071467,-76.6664047445
208,1209 021,1441 E EAGER ST,GAY STREET,12,EASTERN,"(39.3015393846, -76.5981391768)",01/01/71213,39.3015393846,-76.5981391768
209,1504 003,1405 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.307250384, -76.5839932023)",01/01/82307,39.307250384,-76.5839932023
210,4178G040,3334 ELMORA AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.3160571422, -76.5761101241)",01/01/20615,39.3160571422,-76.5761101241
211,4164B057,1735 CLIFTVIEW AVE,DARLEY PARK,12,EASTERN,"(39.3151264731, -76.5930111624)",01/01/12714,39.3151264731,-76.5930111624
212,1553 070,1101 N COLLINGTON AVE,MIDDLE EAST,13,EASTERN,"(39.3038642306, -76.5867269386)",01/01/52010,39.3038642306,-76.5867269386
213,2475C001,3000 W LANVALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2971822215, -76.667242706)",01/01/62906,39.2971822215,-76.667242706
214,1144 044,1308 ENSOR ST,JOHNSTON SQUARE,12,EASTERN,"(39.3054231275, -76.6039127461)",01/01/70612,39.3054231275,-76.6039127461
215,1592 060,917 N ROSE ST,MILTON-MONTFORD,13,EASTERN,"(39.3015957944, -76.5815625649)",01/01/120610,39.3015957944,-76.5815625649
216,0207 054,8 S MONROE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2874542321, -76.647138917)",01/01/62310,39.2874542321,-76.647138917
217,4020 012,722 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.313799331, -76.6077233943)",01/01/41610,39.313799331,-76.6077233943
218,2482B041,2903 ARUNAH AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2949732106, -76.6654944674)",01/01/111413,39.2949732106,-76.6654944674
219,0012 076,1648 N MONROE ST,EASTERWOOD,7,WESTERN,"(39.307626968, -76.6482855773)",01/01/112107,39.307626968,-76.6482855773
220,6159 011,321 LONEYS LANE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2962264579, -76.5724519857)",01/01/91914,39.2962264579,-76.5724519857
221,2548 007,20 S AUGUSTA AVE,IRVINGTON,8,SOUTHWESTERN,"(39.2853750204, -76.685221751)",01/01/21711,39.2853750204,-76.685221751
222,1661 031,510 N ELLWOOD AVE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2973467399, -76.5739105403)",01/01/121412,39.2973467399,-76.5739105403
223,2366 014,2506 MOSHER ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,"(39.2997967425, -76.6569027388)",01/01/51811,39.2997967425,-76.6569027388
224,2174A016,2422 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2840703272, -76.6552711176)",01/01/82007,39.2840703272,-76.6552711176
225,1131 004,1006 E HOFFMAN ST,OLIVER,12,EASTERN,"(39.3062546621, -76.6035325905)",01/01/102805,39.3062546621,-76.6035325905
226,2418 061,1617 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3065120565, -76.6653490648)",01/01/71813,39.3065120565,-76.6653490648
227,2425 001A,3012 PRESBURY ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3072844218, -76.6679851485)",01/01/30513,39.3072844218,-76.6679851485
228,1467 014,1625 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.3094943203, -76.5926399844)",01/01/40808,39.3094943203,-76.5926399844
229,2167B028,2558 W FAYETTE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2890480693, -76.6581194652)",01/01/93010,39.2890480693,-76.6581194652
230,7056 005A,520 MAUDE AVE,BROOKLYN,10,SOUTHERN,"(39.238945095, -76.602072732)",01/01/12513,39.238945095,-76.602072732
231,0780 013,1127 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282208076, -76.6330308842)",01/01/32913,39.282208076,-76.6330308842
232,1458 024,1923 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,"(39.3106181287, -76.5908690214)",01/01/91807,39.3106181287,-76.5908690214
233,2205 055,2411 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2938877053, -76.6551394551)",01/01/122011,39.2938877053,-76.6551394551
234,0249 030,105 S CAREY ST,HOLLINS MARKET,9,SOUTHERN,"(39.2862166542, -76.6377419751)",01/01/102811,39.2862166542,-76.6377419751
235,6048 015,5430 FORCE ROAD,FRANKFORD,2,NORTHEASTERN,"(39.3215249874, -76.5388530894)",01/01/20414,39.3215249874,-76.5388530894
236,4168 010,2019 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.3137336367, -76.5902157059)",01/01/72406,39.3137336367,-76.5902157059
237,4029 019,2331 SHERWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3159173374, -76.5971294644)",01/01/41311,39.3159173374,-76.5971294644
238,7841 052,1902 GRIFFIS AVE,MORRELL PARK,10,SOUTHWESTERN,"(39.2674614916, -76.6506952416)",01/01/62613,39.2674614916,-76.6506952416
239,0114 055,626 N ARLINGTON AVE,HARLEM PARK,9,WESTERN,"(39.2962529745, -76.6359900159)",01/01/42208,39.2962529745,-76.6359900159
240,0396 042,1307 DIVISION ST,UPTON,11,CENTRAL,"(39.3014346247, -76.6295685243)",01/01/30508,39.3014346247,-76.6295685243
241,3210 054,1915 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.3112555584, -76.6488101553)",01/01/122107,39.3112555584,-76.6488101553
242,0096 058,1832 HARLEM AVE,HARLEM PARK,9,WESTERN,"(39.2965965469, -76.6470987659)",01/01/41008,39.2965965469,-76.6470987659
243,1628 057,2820 E MONUMENT ST,MADISON-EASTEND,13,EASTERN,"(39.2992267397, -76.5772735128)",01/01/102811,39.2992267397,-76.5772735128
244,4583 008,3216 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3472732743, -76.6743971172)",01/01/92713,39.3472732743,-76.6743971172
245,0394 041,1329 ARGYLE AVE,UPTON,11,CENTRAL,"(39.3002547921, -76.6319701519)",01/01/72409,39.3002547921,-76.6319701519
246,3347 031,2525 OSWEGO AVE,GREENSPRING,6,NORTHERN,"(39.3365731281, -76.6599594685)",01/01/123108,39.3365731281,-76.6599594685
247,1155 082,725 MURA ST,JOHNSTON SQUARE,12,EASTERN,"(39.304196575, -76.6071023141)",01/01/111513,39.304196575,-76.6071023141
248,2448 017,1148 N LONGWOOD ST,WINCHESTER,9,SOUTHWESTERN,"(39.3011031996, -76.6675759192)",01/01/120407,39.3011031996,-76.6675759192
249,4622 029,4743 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3451438137, -76.6707106187)",01/01/91214,39.3451438137,-76.6707106187
250,1102 069,1621 E NORTH AVE,OLIVER,12,EASTERN,"(39.3117657878, -76.5962365952)",01/01/110904,39.3117657878,-76.5962365952
251,0469 006,813 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.2959145016, -76.6314580195)",01/01/111004,39.2959145016,-76.6314580195
252,4577A002,3624 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3447483923, -76.6783350006)",01/01/110812,39.3447483923,-76.6783350006
253,2165 007,47 N CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2889475647, -76.6563253685)",01/01/51913,39.2889475647,-76.6563253685
254,0264 088,1412 KUPER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2851290961, -76.6399666238)",01/01/21108,39.2851290961,-76.6399666238
255,3206 014,2028 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.3099191584, -76.6508889112)",01/01/110410,39.3099191584,-76.6508889112
256,3411 001,2500 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3132630303, -76.6414206339)",01/01/10909,39.3132630303,-76.6414206339
257,0058 004,1906 MOSHER ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.3000083522, -76.6478730394)",01/01/111808,39.3000083522,-76.6478730394
258,0071 076,903 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2991110324, -76.6481502345)",01/01/61908,39.2991110324,-76.6481502345
259,1102 052,1830 N BROADWAY,OLIVER,12,EASTERN,"(39.3114851105, -76.5954756481)",01/01/110105,39.3114851105,-76.5954756481
260,1646 029,3031 E MONUMENT ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2989794707, -76.5741243269)",01/01/41108,39.2989794707,-76.5741243269
261,3326 008,3414 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.326523869, -76.6580028725)",01/01/71814,39.326523869,-76.6580028725
262,0276 049,1704 RAMSAY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2834001446, -76.6440197117)",01/01/30107,39.2834001446,-76.6440197117
263,2518 058,811 WICKLOW ROAD,ROGNEL HEIGHTS,8,SOUTHWESTERN,"(39.2962565089, -76.687919119)",01/01/12715,39.2962565089,-76.687919119
264,1658 052,2702 JEFFERSON ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2970352214, -76.5788729278)",01/01/42409,39.2970352214,-76.5788729278
265,2406 073,1724 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3078539891, -76.663833439)",01/01/90313,39.3078539891,-76.663833439
266,1642 031,616 N LAKEWOOD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2984685104, -76.5796837829)",01/01/13015,39.2984685104,-76.5796837829
267,1553 074,2207 HENNEMAN AVE,MIDDLE EAST,13,EASTERN,"(39.3039403224, -76.5864533344)",01/01/32310,39.3039403224,-76.5864533344
268,0275 072,1843 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284039838, -76.6462530817)",01/01/12908,39.284039838,-76.6462530817
269,2808 002,3706 CLIFTON AVE,MOUNT HOLLY,7,SOUTHWESTERN,"(39.311007328, -76.680113719)",01/01/91113,39.311007328,-76.680113719
270,5898H100,4010 EIERMAN AVE,ARCADIA,3,NORTHEASTERN,"(39.3303531085, -76.5661194602)",01/01/80910,39.3303531085,-76.5661194602
271,2175 084,2526 BOYD ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2863192015, -76.657227215)",01/01/92408,39.2863192015,-76.657227215
272,1459 082,1727 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.31040046, -76.5900263974)",01/01/32812,39.31040046,-76.5900263974
273,1152 021,430 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.3038860626, -76.6096042094)",01/01/60910,39.3038860626,-76.6096042094
274,1694 053,2802 PULASKI HWY,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2951290736, -76.5773070009)",01/01/72414,39.2951290736,-76.5773070009
275,1463 048,1712 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.3103228337, -76.584675586)",01/01/101112,39.3103228337,-76.584675586
276,0363 039,426 MOSHER ST,UPTON,11,CENTRAL,"(39.3038278638, -76.6305574775)",01/01/83011,39.3038278638,-76.6305574775
277,1464 082,1713 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.3103426286, -76.5841809195)",01/01/10913,39.3103426286,-76.5841809195
278,0020 049E,1830 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3054388198, -76.6475130135)",01/01/21011,39.3054388198,-76.6475130135
279,0288 068,448 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.281942336, -76.6519967669)",01/01/71012,39.281942336,-76.6519967669
280,0077 013,1331 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2998348013, -76.6397101445)",01/01/51408,39.2998348013,-76.6397101445
281,4575 011,3719 W BELVEDERE AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.3457505341, -76.6804006973)",01/01/33009,39.3457505341,-76.6804006973
282,0275 132,1809 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2836127487, -76.645490866)",01/01/72513,39.2836127487,-76.645490866
283,0698 042,2044 WILKENS AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.2815132171, -76.6490440015)",01/01/40414,39.2815132171,-76.6490440015
284,3347C052,2643 LOYOLA SOUTHWAY,GREENSPRING,6,NORTHERN,"(39.3366992918, -76.6621484313)",01/01/120307,39.3366992918,-76.6621484313
285,0078 011,1236 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299298319, -76.6385760877)",01/01/82214,39.299298319,-76.6385760877
286,0260 084,1815 DOVER ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2846292485, -76.6456526253)",01/01/90109,39.2846292485,-76.6456526253
287,0204 088,2214 BOOTH ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2875221329, -76.6521897768)",01/01/52306,39.2875221329,-76.6521897768
288,0313 019,535 BLOOM ST,UPTON,11,CENTRAL,"(39.3071365429, -76.637509642)",01/01/22509,39.3071365429,-76.637509642
289,0179 027,103 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.2898836093, -76.6449744524)",01/01/72108,39.2898836093,-76.6449744524
290,0083 087,817 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2982000397, -76.6480981716)",01/01/101008,39.2982000397,-76.6480981716
291,2382 035,2706 PROSPECT ST,MOSHER,9,WESTERN,"(39.2988147564, -76.6622507997)",01/01/72806,39.2988147564,-76.6622507997
292,1477 033,1723 E FEDERAL ST,BROADWAY EAST,12,EASTERN,"(39.3083874568, -76.5935706396)",01/01/72407,39.3083874568,-76.5935706396
293,3406 037,2456 WOODBROOK AVE,PENN NORTH,7,WESTERN,"(39.3110804234, -76.642244365)",01/01/100114,39.3110804234,-76.642244365
294,0064 014,1326 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3003514813, -76.6395714743)",01/01/50107,39.3003514813,-76.6395714743
295,0260 064,1802 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2844711103, -76.64538014)",01/01/51809,39.2844711103,-76.64538014
296,3445 011,2220 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.3133104937, -76.6317043922)",01/01/111414,39.3133104937,-76.6317043922
297,2939 014,3817 SEQUOIA AVE,CALLAWAY-GARRISON,6,NORTHWESTERN,"(39.3319240012, -76.6803256338)",01/01/121914,39.3319240012,-76.6803256338
298,2109 066A,2417 CHRISTIAN ST,MILLHILL,9,SOUTHWESTERN,"(39.2799930263, -76.6545080336)",01/01/30105,39.2799930263,-76.6545080336
299,2411 021,2919 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3079149971, -76.6666334542)",01/01/53113,39.3079149971,-76.6666334542
300,2455 009,3219 PRESSTMAN ST,ROSEMONT,9,SOUTHWESTERN,"(39.3041700748, -76.671277228)",01/01/62310,39.3041700748,-76.671277228
301,0196 046,1500 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2886466326, -76.6411317819)",01/01/42506,39.2886466326,-76.6411317819
302,3325 016,3530 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3290434518, -76.6591172239)",01/01/60713,39.3290434518,-76.6591172239
303,1568 007,1015 N WASHINGTON ST,MIDDLE EAST,13,EASTERN,"(39.3026493252, -76.589592197)",01/01/12215,39.3026493252,-76.589592197
304,1447 039,1835 E NORTH AVE,BROADWAY EAST,12,EASTERN,"(39.3120163911, -76.5919654411)",01/01/61614,39.3120163911,-76.5919654411
305,1504 040,2408 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.3070289987, -76.583884816)",01/01/100609,39.3070289987,-76.583884816
306,0206 025,19 S PULASKI ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2873186169, -76.6497981797)",01/01/22613,39.2873186169,-76.6497981797
307,4137 060,2806 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323402002, -76.5935183659)",01/01/31814,39.323402002,-76.5935183659
308,0315 016,2030 MCCULLOH ST,DRUID HEIGHTS,11,CENTRAL,"(39.3084913147, -76.6354901215)",01/01/32515,39.3084913147,-76.6354901215
309,2230F021,41 N ABINGTON AVE,CARROLL-SOUTH HILTON,9,SOUTHWESTERN,"(39.2869748772, -76.670972703)",01/01/100611,39.2869748772,-76.670972703
310,3951 025,1720 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3240836322, -76.5912648931)",01/01/121214,39.3240836322,-76.5912648931
311,0294 043,1729 N CAREY ST,PENN NORTH,7,WESTERN,"(39.3094409069, -76.643012595)",01/01/121710,39.3094409069,-76.643012595
312,0126 012,524 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.2949148658, -76.6373885209)",01/01/111908,39.2949148658,-76.6373885209
313,0119 062,1906 LAURETTA AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2946344287, -76.6478568875)",01/01/102406,39.2946344287,-76.6478568875
314,0118 032,2029 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2948644898, -76.6499548922)",01/01/91107,39.2948644898,-76.6499548922
315,4594 018,5035 QUEENSBERRY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3498689437, -76.6714917475)",01/01/73013,39.3498689437,-76.6714917475
316,0303 048,504 GOLD ST,DRUID HEIGHTS,7,CENTRAL,"(39.3089214978, -76.6378331951)",01/01/32310,39.3089214978,-76.6378331951
317,0274 057,1933 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2839999884, -76.6479059553)",01/01/80112,39.2839999884,-76.6479059553
318,4584 012,3115 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3493722333, -76.6745326471)",01/01/13015,39.3493722333,-76.6745326471
319,2140 052,2654 LEHMAN ST,MILLHILL,9,SOUTHWESTERN,"(39.2807250569, -76.6582541002)",01/01/120914,39.2807250569,-76.6582541002
320,3445 013,2224 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.3134095517, -76.63170654)",01/01/13015,39.3134095517,-76.63170654
321,0416 016,1239 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.3020645146, -76.6282528894)",01/01/72905,39.3020645146,-76.6282528894
322,1468 013,1625 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.3092402421, -76.5913073045)",01/01/101410,39.3092402421,-76.5913073045
323,4605A014,4937 EDGEMERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3452218209, -76.6743732028)",01/01/62609,39.3452218209,-76.6743732028
324,4123A059,1722 MONTPELIER ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3197272325, -76.5946740075)",01/01/30210,39.3197272325,-76.5946740075
325,0221 044,114 S CALVERTON ROAD,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2865449098, -76.6521848859)",01/01/22305,39.2865449098,-76.6521848859
326,4020 003,704 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3137814692, -76.6081932259)",01/01/121511,39.3137814692,-76.6081932259
327,3973C024,723 SPRINGFIELD AVE,PEN LUCY,4,NORTHERN,"(39.3409304471, -76.6055993195)",01/01/101907,39.3409304471,-76.6055993195
328,4587 042,3041 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3491209007, -76.6729729538)",01/01/31412,39.3491209007,-76.6729729538
329,0271 054,349 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2831496859, -76.6517038629)",01/01/113006,39.2831496859,-76.6517038629
330,2243B042,146 PALORMO AVE,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.2834274444, -76.6754036624)",01/01/11714,39.2834274444,-76.6754036624
331,0106 065,626 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2958741362, -76.6493409078)",01/01/11411,39.2958741362,-76.6493409078
332,4178I040,3434 RAVENWOOD AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.3154972013, -76.5747586815)",01/01/40314,39.3154972013,-76.5747586815
333,1505 047,1433 N MILTON AVE,BEREA,13,EASTERN,"(39.3078410739, -76.5826191912)",01/01/111307,39.3078410739,-76.5826191912
334,0163 006,1810 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,"(39.2908121422, -76.6461167328)",01/01/51310,39.2908121422,-76.6461167328
335,2297 007,412 N LOUDON AVE,ALLENDALE,8,SOUTHWESTERN,"(39.2920668111, -76.682755287)",01/01/111414,39.2920668111,-76.682755287
336,5140N015,928 SAINT DUNSTANS ROAD,CAMERON VILLAGE,4,NORTHERN,"(39.3594959137, -76.600808422)",01/01/12215,39.3594959137,-76.600808422
337,0699 076,1936 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2825323769, -76.6477576281)",01/01/30615,39.2825323769,-76.6477576281
338,0228 018,1735 HOLLINS ST,UNION SQUARE,9,SOUTHERN,"(39.2870558889, -76.6449785369)",01/01/32406,39.2870558889,-76.6449785369
